occupation_id,occupation,order_year,landing_url,extraction_url,access_date,analysis_scope,note
bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,https://www.gesetze-im-internet.de/b_romkfausbv_2025/BJNR03E0A0025.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,"Anlage, Abschnitte A bis C","Abschnitt B enthält Wahlqualifikationen"
fachinformatiker,Fachinformatiker/Fachinformatikerin,2020,https://www.gesetze-im-internet.de/fiausbv/BJNR025000020.html,https://www.gesetze-im-internet.de/fiausbv/anlage.html,2026-07-02,"Anlage, Abschnitte A bis F","Abschnitte B bis E sind vier alternative Fachrichtungen"
friseur,Friseur/Friseurin,2008,https://www.gesetze-im-internet.de/friseurausbv_2008/BJNR085600008.html,https://www.gesetze-im-internet.de/friseurausbv_2008/anlage.html,2026-07-02,"Anlage, Abschnitte A bis C","Fassung zuletzt geändert 2022; Abschnitt B enthält Wahlqualifikationseinheiten"
elektroniker,Elektroniker/Elektronikerin,2021,https://www.gesetze-im-internet.de/elekausbv_2021/BJNR069900021.html,https://www.gesetze-im-internet.de/elekausbv_2021/anlage.html,2026-07-02,"Anlage, Abschnitte A bis D","Abschnitte B und C sind zwei alternative Fachrichtungen"
mechatroniker,Mechatroniker/Mechatronikerin,2011,https://www.gesetze-im-internet.de/mechatronikerausbv/BJNR151600011.html,https://www.gesetze-im-internet.de/mechatronikerausbv/anlage_1.html,2026-07-02,"Anlage 1","Konsolidierte Fassung 2018; optionale Zusatzqualifikationen aus Anlage 2 zunächst ausgeschlossen"
