unit_id,occupation_id,occupation,order_year,source_file,source_url,retrieval_date,source_sha256,source_page,section,section_code,track_type,track_name,source_table,source_row,position_number,unit_name,item_letter,competency_stem,original_item_text,learning_goal_text,extraction_note
bueromanagement_a_2_e,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),e,,Präsentationen reflektieren,Präsentationen reflektieren,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_f,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),f,,Kalkulationstabellen erstellen und Berechnungen durchführen,Kalkulationstabellen erstellen und Berechnungen durchführen,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_g,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),g,,Daten in Diagrammen darstellen,Daten in Diagrammen darstellen,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_h,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),h,,Tabellen und Diagramme dokumentenübergreifend verwenden,Tabellen und Diagramme dokumentenübergreifend verwenden,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_i,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),i,,Dokumente pflegen und archivieren,Dokumente pflegen und archivieren,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_j,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),j,,Dateien exportieren und importieren,Dateien exportieren und importieren,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_3_a,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,3,3,bürowirtschaftliche Abläufe organisieren (§ 4 Absatz 2 Nummer 3),a,,"Bedarf an Büromaterial planen, beschaffen und verwalten","Bedarf an Büromaterial planen, beschaffen und verwalten",HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_3_b,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,3,3,bürowirtschaftliche Abläufe organisieren (§ 4 Absatz 2 Nummer 3),b,,Posteingang und -ausgang bearbeiten,Posteingang und -ausgang bearbeiten,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_3_c,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,3,3,bürowirtschaftliche Abläufe organisieren (§ 4 Absatz 2 Nummer 3),c,,Dokumente unter Beachtung gesetzlicher und betrieblicher Aufbewahrungsfristen verwalten,Dokumente unter Beachtung gesetzlicher und betrieblicher Aufbewahrungsfristen verwalten,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_3_d,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,3,3,bürowirtschaftliche Abläufe organisieren (§ 4 Absatz 2 Nummer 3),d,,bürowirtschaftliche Abläufe reflektieren und Verbesserungen vorschlagen,bürowirtschaftliche Abläufe reflektieren und Verbesserungen vorschlagen,HTML-dl/dt/dd; whitespace normalized
