case_number,unit_id,occupation,section,unit_name,learning_goal_text
1,bueromanagement_c_4_g,Kaufmann/Kauffrau für Büromanagement,"Abschnitt C: wahlqualifikationsübergreifende integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",digitalisierte Arbeitswelt (§ 4 Absatz 4 Nummer 4),"Aufgaben zusammen mit Beteiligten, einschließlich der Beteiligten anderer Arbeits- und Geschäftsbereiche, auch unter Nutzung digitaler Medien, planen, bearbeiten und gestalten"
2,elektroniker_b_6_l,Elektroniker/Elektronikerin,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Energie- und Gebäudetechnik",Durchführen von Wiederholungsprüfungen entsprechend geltender Normen und Instandhalten von gebäudetechnischen Systemen (§ 4 Absatz 3 Nummer 6),Wartungsarbeiten durchführen
3,fachinformatiker_a_8_e,Fachinformatiker/Fachinformatikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8),Störungsmeldungen aufnehmen und analysieren sowie Maßnahmen zur Störungsbeseitigung ergreifen
4,friseur_c_4_b,Friseur/Friseurin,"Abschnitt C: integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",Digitalisierte Arbeitswelt (§ 4 Absatz 2 Abschnitt C Nummer 4),Risiken bei der Nutzung von digitalen Medien und informationstechnischen Systemen einschätzen und bei deren Nutzung betriebliche Regelungen einhalten
5,mechatroniker_main_17_k,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,Zusammenbauen von Baugruppen und Komponenten zu Maschinen und Systemen (§ 3 Absatz 2 Nummer 17),"Sensoren einbauen, einstellen und verbinden"
