occupation,competency_rows,llm_digital,llm_digital_share,ml_digital,ml_digital_share,share_difference_ml_minus_llm
Elektroniker/Elektronikerin,207,42,0.2028985507246377,20,0.0966183574879227,-0.10628019323671499
Fachinformatiker/Fachinformatikerin,144,94,0.6527777777777778,92,0.6388888888888888,-0.01388888888888895
Friseur/Friseurin,140,10,0.07142857142857142,6,0.04285714285714286,-0.028571428571428567
Kaufmann/Kauffrau für Büromanagement,239,13,0.05439330543933055,4,0.016736401673640166,-0.03765690376569038
Mechatroniker/Mechatronikerin,165,28,0.1696969696969697,19,0.11515151515151516,-0.05454545454545455
